,quorum_campinas_sp,quorum_birigui_sp,quorum_mogi_das_cruzes_sp,quorum_santo_andre_sp,quorum_maua_sp,quorum_sao_vicente_sp,quorum_aruja_sp,quorum_itapeva_sp,quorum_braganca_paulista_sp,quorum_lorena_sp,quorum_salto_sp,quorum_guaratingueta_sp,quorum_votuporanga_sp,quorum_ibiuna_sp,quorum_catanduva_sp,quorum_pindamonhangaba_sp,quorum_praia_grande_sp,quorum_cajamar_sp,quorum_sumare_sp,quorum_sao_jose_dos_campos_sp,quorum_paulinia_sp,quorum_barueri_sp,quorum_sao_sebastiao_sp,quorum_rio_claro_sp,quorum_cotia_sp,quorum_guarulhos_sp,quorum_assis_sp,quorum_osasco_sp,quorum_taboao_da_serra_sp,quorum_leme_sp,quorum_limeira_sp,quorum_araras_sp,quorum_marilia_sp,quorum_caraguatatuba_sp,quorum_jundiai_sp,quorum_vinhedo_sp,quorum_constituicao,quorum_sao_paulo_sp,quorum_sao_bernardo_do_campo_sp,quorum_tatui_sp,quorum_diadema_sp,quorum_varzea_paulista_sp,quorum_jau_sp,quorum_sao_caetano_do_sul_sp,quorum_jandira_sp,quorum_itapetininga_sp,quorum_aracatuca_sp,quorum_itapecerica_da_serra_sp,quorum_cruzeiro_sp,quorum_caieiras_sp,quorum_poa_sp,quorum_ubatuba_sp,quorum_itu_sp,quorum_mogi_mirim_sp,quorum_cubatao_sp,quorum_hortolandia_sp,quorum_valinhos_sp,quorum_lins_sp,quorum_embu_das_artes_sp,quorum_sao_carlos_sp,quorum_mairipora_sp,quorum_atibaia_sp,quorum_bauru_sp,quorum_franca_sp,quorum_guaruja_sp,quorum_sao_jose_do_rio_preto_sp,quorum_ferraz_de_vasconcelos_sp,quorum_votorantim_sp,quorum_mogi_guacu_sp,quorum_itanhaem_sp,quorum_franco_da_rocha_sp,quorum_sao_roque_sp,quorum_sao_joao_da_boa_vista_sp,quorum_ourinhos_sp,quorum_botucatu_sp,quorum_santana_de_parnaiba_sp,quorum_suzano_sp,quorum_sertaozinho_sp,quorum_taubate_sp,quorum_cacapava_sp,quorum_indaiatuba_sp,quorum_sorocaba_sp,quorum_bebedouro_sp,quorum_santos_sp,quorum_carapicuiba_sp,quorum_itatiba_sp,quorum_itaquaquecetuba_sp,quorum_avare_sp,quorum_araraquara_sp,quorum_ribeirao_pires_sp,quorum_campo_limpo_paulista_sp,quorum_piracicaba_sp,quorum_barretos_sp,quorum_francisco_morato_sp,quorum_ribeirao_preto_sp,quorum_americana_sp,quorum_itapevi_sp,quorum_presidente_prudente_sp,quorum_jacarei_sp,quorum_matao_sp,quorum_santa_barbara_doeste_sp
quorum_campinas_sp,1.0,0.7593997,0.6586058,0.7529266,0.6871632,0.75574625,0.8687748,0.8089199,0.673913,0.74422866,0.7847185,0.7018527,0.75467837,0.83061564,0.7790207,0.7988647,0.55300826,0.76294637,0.6983619,0.7287682,0.4598928,0.78978664,0.7051182,0.3874014,0.6188726,0.6732091,0.72864985,0.49733895,0.72935545,0.61712873,0.73478675,0.67625344,0.7629888,0.69211125,0.67158973,0.7070272,0.6074177,0.7654784,0.7442995,0.81399703,0.7389983,0.7481549,0.8296541,0.74281245,0.6808893,0.5627683,0.88174254,0.5338861,0.79053104,0.7270932,0.7290042,0.6486703,0.7550043,0.70511186,0.78268087,0.81247437,0.72048223,0.813596,0.79041797,0.72560376,0.8789205,0.82551324,0.7060112,0.7647332,0.77621865,0.7715564,0.7559116,0.6737091,0.69772923,0.81346333,0.7155533,0.71624845,0.79650426,0.5859947,0.78190273,0.79012334,0.5788158,0.7726201,0.44644493,0.70541185,0.6986989,0.7363421,0.7557659,0.7435887,0.7044889,0.81771,0.7400101,0.69462025,0.79550636,0.67471164,0.7478883,0.6395453,0.633904,0.6776248,0.72311616,0.6336397,0.68701553,0.7013756,0.5178767,0.8001354,0.68470216
quorum_birigui_sp,0.7593997,0.9999999,0.5448798,0.76093197,0.64237064,0.80823624,0.6845031,0.72682554,0.81415117,0.8712606,0.7602487,0.6344603,0.7033123,0.7091669,0.7377125,0.6791963,0.5304045,0.84938884,0.7336261,0.78599,0.44694322,0.7089356,0.72869533,0.38987786,0.61288667,0.6652666,0.6865889,0.48108396,0.67235255,0.53387606,0.6963264,0.67845607,0.6460897,0.7196497,0.787174,0.63699216,0.6336418,0.75554806,0.84537184,0.8012834,0.800947,0.7964791,0.7164881,0.8329447,0.7205043,0.5406144,0.66609895,0.5774169,0.6546708,0.76657987,0.6602076,0.62332296,0.6620198,0.75386786,0.63912106,0.74119675,0.7251052,0.68523645,0.777513,0.8298683,0.65313655,0.69391644,0.7504671,0.75846076,0.77072096,0.8038565,0.8396232,0.61305755,0.7404709,0.8112381,0.71726835,0.6428711,0.7355106,0.5466031,0.8479928,0.72398794,0.60361385,0.7892991,0.41773936,0.7729418,0.7085493,0.8094231,0.6765328,0.7739181,0.61984926,0.71955776,0.7186351,0.6197876,0.752562,0.5499314,0.7548408,0.5699786,0.5680289,0.65324736,0.8483995,0.7047305,0.56219685,0.56844676,0.49073404,0.7973529,0.6817845
quorum_mogi_das_cruzes_sp,0.6586058,0.5448798,1.0000001,0.58667374,0.61751366,0.63116837,0.74148774,0.67290807,0.5307594,0.5460936,0.6529553,0.637597,0.5954631,0.66936123,0.62622285,0.63057935,0.5381938,0.56992435,0.627639,0.6227573,0.47455278,0.59493417,0.619011,0.44957012,0.67015666,0.65229404,0.69849914,0.4727987,0.57611704,0.6290791,0.6914397,0.63766134,0.58221203,0.40317833,0.510792,0.6809518,0.52095777,0.63299656,0.6234906,0.6127068,0.6092739,0.5987549,0.6207034,0.6224766,0.467917,0.5458621,0.7050001,0.49431592,0.6890833,0.737893,0.60322154,0.45875508,0.6470885,0.5795097,0.62068915,0.6839199,0.5545888,0.6833227,0.5969912,0.60013306,0.6315477,0.63471484,0.47951365,0.65512824,0.58305764,0.6342219,0.61511385,0.5924163,0.58820224,0.6091867,0.6646671,0.5253063,0.64374137,0.6983596,0.58135426,0.657024,0.5265173,0.63397306,0.44898838,0.4402331,0.6327034,0.5878508,0.6005571,0.630708,0.603613,0.6498518,0.64081997,0.5579207,0.66788673,0.69439137,0.66661614,0.53215134,0.64257467,0.5548512,0.56715846,0.54012537,0.6223755,0.7219585,0.40803725,0.6312933,0.66886187
quorum_santo_andre_sp,0.7529266,0.76093197,0.58667374,1.0000002,0.6374069,0.8291886,0.7089648,0.71743953,0.71999294,0.7370222,0.7409698,0.75846326,0.5513264,0.74508685,0.6794801,0.6399714,0.58435404,0.7235173,0.7093939,0.7624074,0.51551473,0.6586757,0.7037121,0.3719566,0.739095,0.6952635,0.6481347,0.45051318,0.65980947,0.4780236,0.66962004,0.6703259,0.6032945,0.5272237,0.69395435,0.6796193,0.66598094,0.8561486,0.83685327,0.82071817,0.7527145,0.7506967,0.7486993,0.8445916,0.65789783,0.56035376,0.7143145,0.51694393,0.778788,0.74004376,0.72509843,0.5941456,0.7682278,0.6495575,0.720158,0.6771436,0.62010956,0.7381379,0.6997566,0.823821,0.68496263,0.7878891,0.59423107,0.65456384,0.74417114,0.8172614,0.74199,0.71634066,0.703158,0.7130416,0.8468543,0.7215309,0.8723589,0.51451147,0.7176355,0.68704927,0.57788235,0.7623917,0.38245285,0.60120314,0.85383224,0.721739,0.70701206,0.8896684,0.6008211,0.76725364,0.81711113,0.56664646,0.7133368,0.54452586,0.7220162,0.5890042,0.71732664,0.68746376,0.7302244,0.63724697,0.64428246,0.6595626,0.53622496,0.68969977,0.7186448
quorum_maua_sp,0.6871632,0.64237064,0.61751366,0.6374069,1.0,0.6500009,0.69046736,0.6916281,0.6037247,0.67229307,0.66919744,0.60633147,0.5989859,0.61574614,0.673774,0.67536116,0.62656987,0.6855964,0.652851,0.6169853,0.5131464,0.63924503,0.622121,0.39370486,0.6629815,0.6682208,0.64923394,0.48320037,0.6647079,0.5541104,0.68224204,0.59230024,0.59584594,0.49027687,0.6900522,0.6858182,0.60865843,0.6556679,0.6542187,0.6430087,0.6663424,0.6784287,0.8249939,0.6519619,0.52609956,0.5665393,0.6895126,0.46825802,0.6000734,0.6737561,0.76680577,0.63333935,0.7093005,0.59201264,0.6158451,0.5867073,0.6119145,0.671662,0.6645664,0.6248014,0.64641964,0.6865831,0.54802763,0.5665221,0.6244521,0.66740376,0.69421214,0.6083386,0.6102779,0.71175396,0.67466384,0.5146487,0.6640632,0.60751164,0.6477661,0.67299736,0.75749505,0.6110046,0.38774145,0.5068412,0.588032,0.6689337,0.6058554,0.6915909,0.48050588,0.60421634,0.57665944,0.55525875,0.65343916,0.58964264,0.628368,0.6014559,0.62467605,0.5860536,0.64130294,0.6485572,0.6709151,0.60700077,0.55558324,0.6628344,0.6047449
quorum_sao_vicente_sp,0.75574625,0.80823624,0.63116837,0.8291886,0.6500009,1.0000002,0.707651,0.68929386,0.8405144,0.85623264,0.67894363,0.7241016,0.54243183,0.7173144,0.6751671,0.63420236,0.60884184,0.8128003,0.83534163,0.8814484,0.48994815,0.69780684,0.8314041,0.40726113,0.71170354,0.66019154,0.7001485,0.49204546,0.6438866,0.5030745,0.77576673,0.74158704,0.65134495,0.5512552,0.8228719,0.74358296,0.60017383,0.9470406,0.95273316,0.7851264,0.8748814,0.7744681,0.7023061,0.95557344,0.71324015,0.5775747,0.6526636,0.6307982,0.6736819,0.7741237,0.6805335,0.57766056,0.67047817,0.6847491,0.6908789,0.7393799,0.77341956,0.71982133,0.7679261,0.9324643,0.67392683,0.6722372,0.5914395,0.759696,0.84998435,0.9513996,0.8572552,0.61575377,0.8165183,0.7690288,0.73659146,0.74777794,0.86755145,0.54479915,0.73550653,0.6687381,0.5943929,0.8674828,0.41565812,0.7027482,0.7658004,0.83248603,0.7793292,0.88343847,0.6367811,0.72332907,0.8065345,0.55368036,0.7510756,0.5535534,0.8180555,0.56329393,0.5939412,0.62579226,0.88133544,0.7479528,0.6160398,0.65010446,0.56760293,0.7224839,0.72332287
quorum_aruja_sp,0.8687748,0.6845031,0.74148774,0.7089648,0.69046736,0.707651,1.0,0.85028875,0.6492263,0.68638796,0.7907672,0.6785707,0.7616348,0.82394075,0.7463243,0.77934504,0.4902566,0.7153729,0.678801,0.6814857,0.4433291,0.7444588,0.68019015,0.33889765,0.67355675,0.6490741,0.69487935,0.44399446,0.71946436,0.64979374,0.80029356,0.6278142,0.760018,0.59048843,0.6148221,0.7747261,0.55307746,0.69566625,0.69032747,0.7262326,0.68925107,0.7787772,0.74963343,0.6892033,0.61495394,0.56736493,0.90337276,0.52533436,0.7762223,0.71267474,0.6578524,0.63550466,0.7931298,0.6822251,0.8004292,0.7396437,0.63822407,0.81026983,0.7868998,0.6741822,0.86280155,0.8182905,0.63691473,0.6770427,0.67781585,0.7520733,0.73401356,0.6462153,0.6685432,0.73230875,0.6729809,0.6546576,0.79903626,0.5955241,0.7386681,0.7918663,0.5847206,0.75627095,0.41920495,0.5956345,0.6299085,0.6811857,0.7120265,0.6760633,0.66540843,0.8057628,0.6907314,0.7011115,0.7302083,0.7008176,0.7221942,0.6507977,0.67118084,0.6748345,0.66113865,0.6219846,0.73165876,0.67818177,0.49787915,0.71860594,0.6257305
quorum_itapeva_sp,0.8089199,0.72682554,0.67290807,0.71743953,0.6916281,0.68929386,0.85028875,0.9999998,0.6375847,0.7140593,0.8551754,0.6705129,0.78671014,0.7829526,0.6724016,0.86441743,0.49771416,0.70786095,0.6713552,0.66892135,0.41026253,0.73774743,0.6702866,0.3833862,0.6491797,0.6750661,0.717857,0.42774117,0.8533988,0.59458184,0.7293457,0.6241168,0.68892527,0.59316874,0.63146496,0.73280454,0.60993004,0.70465815,0.710883,0.76350033,0.67593306,0.8730148,0.7501302,0.70089257,0.648656,0.5458976,0.83970916,0.5535419,0.7329726,0.6975049,0.6530974,0.56596357,0.84145457,0.6677921,0.78580475,0.74879646,0.5939722,0.7546387,0.8042605,0.6752902,0.8214785,0.8047121,0.7035638,0.6550397,0.6944239,0.70252633,0.69693536,0.639495,0.6059029,0.74324346,0.71994126,0.5979614,0.73841083,0.5779402,0.75749826,0.8691388,0.5906073,0.72073203,0.3983831,0.58764505,0.66540545,0.68815726,0.71313494,0.71954525,0.59051216,0.7815511,0.6911092,0.63009,0.7294856,0.6743139,0.6802952,0.6230643,0.6548567,0.61940193,0.652318,0.6396948,0.6459816,0.6172236,0.44417167,0.7432684,0.6372013
quorum_braganca_paulista_sp,0.673913,0.81415117,0.5307594,0.71999294,0.6037247,0.8405144,0.6492263,0.6375847,1.0000001,0.8592652,0.6155628,0.6239413,0.49403733,0.60673666,0.5958853,0.53847736,0.5841254,0.9022899,0.7754908,0.8149818,0.42326635,0.6859333,0.81636816,0.3654002,0.7020806,0.49376416,0.6411649,0.4827255,0.6262567,0.42358357,0.76094145,0.7491482,0.5860482,0.57419586,0.82224745,0.7072735,0.5688619,0.79791987,0.8324543,0.7200725,0.8786448,0.76711214,0.6728105,0.8383024,0.69214225,0.54255366,0.5966356,0.63269925,0.6264298,0.7675936,0.62923396,0.5607351,0.6508422,0.6586105,0.669908,0.6954901,0.7337172,0.64687467,0.8214146,0.8128772,0.5690607,0.66569495,0.5934408,0.72253895,0.81880325,0.85083616,0.89620626,0.55722773,0.8869976,0.7429475,0.5947741,0.66144454,0.7297958,0.50951815,0.79501325,0.61058575,0.5626519,0.7778162,0.42541045,0.8015263,0.6181191,0.8439899,0.7716209,0.7662393,0.5981479,0.5771279,0.6860931,0.59675467,0.71651614,0.40749568,0.8105276,0.5169698,0.58882594,0.6135978,0.8694399,0.7047596,0.6325064,0.54693896,0.5674836,0.7107639,0.54988456
quorum_lorena_sp,0.74422866,0.8712606,0.5460936,0.7370222,0.67229307,0.85623264,0.68638796,0.7140593,0.8592652,0.9999999,0.6716945,0.6642022,0.5997851,0.6746485,0.6804729,0.6470075,0.56053066,0.9141561,0.7901907,0.813159,0.49157485,0.7068906,0.8018565,0.41617745,0.6426021,0.5809841,0.6547377,0.511695,0.6546767,0.47703817,0.71027267,0.7171241,0.6597484,0.64303446,0.8248571,0.6793956,0.6423444,0.8359813,0.88582873,0.794038,0.857357,0.8010638,0.71854866,0.8805416,0.7450296,0.61686546,0.62170607,0.6486379,0.6511023,0.7583629,0.7033572,0.60960615,0.67206144,0.7309636,0.6653762,0.7273069,0.78055274,0.67972606,0.8206874,0.83681655,0.6260803,0.69751,0.6978175,0.7168206,0.8402866,0.84839356,0.8623377,0.6090249,0.8194841,0.8423289,0.6684041,0.68513715,0.751542,0.5162118,0.8118762,0.6577436,0.6581828,0.8324433,0.48336864,0.74302995,0.6762495,0.8633467,0.73795676,0.8304218,0.6068511,0.6228179,0.67817855,0.60323334,0.7448796,0.5001732,0.80298215,0.55837226,0.5774089,0.6731119,0.901677,0.7438915,0.61680543,0.55054104,0.51700777,0.77519554,0.64394903
