,quorum_campinas_sp,quorum_birigui_sp,quorum_mogi_das_cruzes_sp,quorum_santo_andre_sp,quorum_maua_sp,quorum_sao_vicente_sp,quorum_aruja_sp,quorum_itapeva_sp,quorum_braganca_paulista_sp,quorum_lorena_sp,quorum_salto_sp,quorum_guaratingueta_sp,quorum_votuporanga_sp,quorum_ibiuna_sp,quorum_catanduva_sp,quorum_pindamonhangaba_sp,quorum_praia_grande_sp,quorum_cajamar_sp,quorum_sumare_sp,quorum_sao_jose_dos_campos_sp,quorum_paulinia_sp,quorum_barueri_sp,quorum_sao_sebastiao_sp,quorum_rio_claro_sp,quorum_cotia_sp,quorum_guarulhos_sp,quorum_assis_sp,quorum_osasco_sp,quorum_taboao_da_serra_sp,quorum_leme_sp,quorum_limeira_sp,quorum_araras_sp,quorum_marilia_sp,quorum_caraguatatuba_sp,quorum_jundiai_sp,quorum_vinhedo_sp,quorum_constituicao,quorum_sao_paulo_sp,quorum_sao_bernardo_do_campo_sp,quorum_tatui_sp,quorum_diadema_sp,quorum_varzea_paulista_sp,quorum_jau_sp,quorum_sao_caetano_do_sul_sp,quorum_jandira_sp,quorum_itapetininga_sp,quorum_aracatuca_sp,quorum_itapecerica_da_serra_sp,quorum_cruzeiro_sp,quorum_caieiras_sp,quorum_poa_sp,quorum_ubatuba_sp,quorum_itu_sp,quorum_mogi_mirim_sp,quorum_cubatao_sp,quorum_hortolandia_sp,quorum_valinhos_sp,quorum_lins_sp,quorum_embu_das_artes_sp,quorum_sao_carlos_sp,quorum_mairipora_sp,quorum_atibaia_sp,quorum_bauru_sp,quorum_franca_sp,quorum_guaruja_sp,quorum_sao_jose_do_rio_preto_sp,quorum_ferraz_de_vasconcelos_sp,quorum_votorantim_sp,quorum_mogi_guacu_sp,quorum_itanhaem_sp,quorum_franco_da_rocha_sp,quorum_sao_roque_sp,quorum_sao_joao_da_boa_vista_sp,quorum_ourinhos_sp,quorum_botucatu_sp,quorum_santana_de_parnaiba_sp,quorum_suzano_sp,quorum_sertaozinho_sp,quorum_taubate_sp,quorum_cacapava_sp,quorum_indaiatuba_sp,quorum_sorocaba_sp,quorum_bebedouro_sp,quorum_santos_sp,quorum_carapicuiba_sp,quorum_itatiba_sp,quorum_itaquaquecetuba_sp,quorum_avare_sp,quorum_araraquara_sp,quorum_ribeirao_pires_sp,quorum_campo_limpo_paulista_sp,quorum_piracicaba_sp,quorum_barretos_sp,quorum_francisco_morato_sp,quorum_ribeirao_preto_sp,quorum_americana_sp,quorum_itapevi_sp,quorum_presidente_prudente_sp,quorum_jacarei_sp,quorum_matao_sp,quorum_santa_barbara_doeste_sp
quorum_salto_sp,0.7847185,0.7602487,0.6529553,0.7409698,0.66919744,0.67894363,0.7907672,0.8551754,0.6155628,0.6716945,1.0,0.64925325,0.7214472,0.7297485,0.7111114,0.82709897,0.50942,0.69117045,0.6439189,0.67641294,0.43432254,0.6927476,0.64766526,0.3370903,0.6547549,0.7245779,0.75234306,0.42429155,0.7800664,0.5989275,0.69910926,0.61589634,0.5969084,0.5597737,0.6434128,0.69873106,0.5954349,0.69190526,0.68566114,0.75032824,0.6464273,0.81591254,0.7367059,0.68285114,0.60701585,0.54137385,0.84736836,0.5090059,0.7284455,0.73310876,0.6892594,0.5544654,0.81409883,0.6460927,0.7431678,0.72985667,0.5636698,0.70851016,0.7780671,0.6845015,0.7862997,0.84894896,0.64372885,0.69862485,0.67799616,0.6867521,0.66298103,0.6290606,0.61243063,0.6303865,0.7478549,0.5697284,0.7204312,0.6138506,0.65165126,0.9566411,0.5649326,0.67325234,0.4099568,0.61332834,0.7422528,0.6672854,0.6689569,0.7251982,0.64862096,0.8142196,0.7215861,0.5993079,0.74544835,0.65473187,0.6584245,0.6466335,0.64438033,0.62461513,0.6326839,0.6377763,0.6112851,0.6261624,0.4863766,0.78800565,0.7436229
quorum_guaratingueta_sp,0.7018527,0.6344603,0.637597,0.75846326,0.60633147,0.7241016,0.6785707,0.6705129,0.6239413,0.6642022,0.64925325,1.0,0.5205258,0.68987095,0.6272248,0.6085944,0.54474115,0.63840115,0.6800572,0.6567761,0.5908917,0.6369367,0.6448822,0.40630913,0.61089075,0.62028694,0.6561295,0.44901946,0.60298234,0.53649175,0.6380763,0.5685315,0.6083265,0.4526858,0.6357335,0.6486571,0.58084226,0.7640465,0.7098562,0.68019927,0.6824677,0.6723906,0.6352134,0.71155584,0.55125105,0.554632,0.69014096,0.5014194,0.7952,0.66318154,0.7021672,0.48866662,0.68175244,0.6477506,0.7134742,0.63471806,0.6069808,0.7182132,0.61059666,0.66266674,0.6587254,0.69551706,0.5043179,0.6008377,0.64241683,0.71467984,0.6499351,0.6477306,0.59981644,0.6501764,0.7025451,0.62416446,0.73790896,0.54462576,0.60884225,0.6385182,0.5260724,0.71626014,0.4387164,0.49994758,0.7280946,0.6675236,0.62456423,0.7321396,0.5677948,0.6793886,0.7268238,0.50700665,0.64399654,0.57524115,0.63212675,0.5584166,0.7429168,0.5788828,0.6505336,0.5907632,0.57140046,0.6422429,0.4483956,0.58860147,0.62974286
quorum_votuporanga_sp,0.75467837,0.7033123,0.5954631,0.5513264,0.5989859,0.54243183,0.7616348,0.78671014,0.49403733,0.5997851,0.7214472,0.5205258,1.0,0.7270119,0.6747901,0.7668252,0.38606465,0.6428641,0.54311705,0.527709,0.31235734,0.6707483,0.5611215,0.26274595,0.5375469,0.5815547,0.6545471,0.3983755,0.6957032,0.64859045,0.6788746,0.4846024,0.7051879,0.7751544,0.51238674,0.61486053,0.5251474,0.5315987,0.55952036,0.61118054,0.526623,0.6386528,0.6868367,0.5566497,0.62769324,0.5387298,0.7193872,0.45585996,0.5965957,0.63919556,0.5128782,0.6209618,0.6484207,0.70794785,0.62171245,0.7335018,0.586056,0.67692804,0.6550695,0.52915573,0.7282402,0.6623821,0.7343639,0.6875131,0.5950767,0.58171916,0.68052804,0.49699628,0.5448046,0.7378516,0.55719,0.50749207,0.6191693,0.56397825,0.7298107,0.7566029,0.48811877,0.60260314,0.40332144,0.68605304,0.47002715,0.58465993,0.5871682,0.50623256,0.5958282,0.6752775,0.50740075,0.60723186,0.6727078,0.5745547,0.61856914,0.54012764,0.4766531,0.54946345,0.58127105,0.5097208,0.53616065,0.5119117,0.4589681,0.7475496,0.52630085
quorum_ibiuna_sp,0.83061564,0.7091669,0.66936123,0.74508685,0.61574614,0.7173144,0.82394075,0.7829526,0.60673666,0.6746485,0.7297485,0.68987095,0.7270119,1.0,0.73372066,0.74570066,0.5035198,0.66830957,0.6644906,0.7060852,0.46462998,0.7064339,0.719007,0.329768,0.5752861,0.67980313,0.7418747,0.49396113,0.6489929,0.6791359,0.70066404,0.6361302,0.74547094,0.66859293,0.5841032,0.678681,0.526466,0.74224156,0.6851579,0.70749307,0.6691463,0.67723787,0.711854,0.68387294,0.7027383,0.5235864,0.7757058,0.57942057,0.7354553,0.71871275,0.64655006,0.6525262,0.66150093,0.67124915,0.74732876,0.7400867,0.62349784,0.8268013,0.67608553,0.67523384,0.78627056,0.78924584,0.6939156,0.7165377,0.7286737,0.7329499,0.7141553,0.66486764,0.66519547,0.72781646,0.70230615,0.7425302,0.8026893,0.58033204,0.75401545,0.6941155,0.5756663,0.8181774,0.4151584,0.64936733,0.68060106,0.6513009,0.7340875,0.64377046,0.7303009,0.7755165,0.6626376,0.74044985,0.75748926,0.6980748,0.7307846,0.65614384,0.6691983,0.6412662,0.6435824,0.63273525,0.65855056,0.62953544,0.5704284,0.7576904,0.66938007
quorum_catanduva_sp,0.7790207,0.7377125,0.62622285,0.6794801,0.673774,0.6751671,0.7463243,0.6724016,0.5958853,0.6804729,0.7111114,0.6272248,0.6747901,0.73372066,1.0,0.6993961,0.6294429,0.6656174,0.67913735,0.7158488,0.6114553,0.63997555,0.6551014,0.41080877,0.5916864,0.6945933,0.7140733,0.524715,0.57510936,0.5996047,0.62582386,0.6628237,0.69867414,0.6663364,0.70820963,0.635803,0.6412108,0.638111,0.6776258,0.72893685,0.6979786,0.65655243,0.75508285,0.67589355,0.66903603,0.598528,0.7781615,0.524576,0.7448803,0.7528807,0.7772477,0.7229579,0.6716403,0.72000694,0.6321492,0.68780625,0.62132394,0.78661305,0.576038,0.721575,0.6991607,0.70919126,0.64869153,0.67932534,0.6990379,0.6592181,0.67976,0.6443766,0.5844572,0.74952525,0.6624043,0.57245314,0.71164906,0.7099199,0.7109858,0.6739629,0.6761708,0.72272533,0.4471746,0.566999,0.6597612,0.6225445,0.66216654,0.65506995,0.7602713,0.75279653,0.6403322,0.70032215,0.7406714,0.76077825,0.6878249,0.668442,0.5598197,0.68385124,0.7179066,0.7217978,0.64655787,0.65951854,0.55302423,0.6954744,0.70675385
quorum_pindamonhangaba_sp,0.7988647,0.6791963,0.63057935,0.6399714,0.67536116,0.63420236,0.77934504,0.86441743,0.53847736,0.6470075,0.82709897,0.6085944,0.7668252,0.74570066,0.6993961,0.9999998,0.49553666,0.61157835,0.5573915,0.6079748,0.38116896,0.689654,0.5795895,0.3336996,0.55100906,0.7134477,0.76202077,0.37285614,0.77854025,0.61991614,0.6746026,0.55022246,0.61343527,0.5917417,0.58315,0.68345237,0.5520502,0.64670384,0.64356226,0.6860381,0.6335608,0.75116885,0.70175517,0.63173467,0.6626475,0.40664357,0.8251185,0.50408924,0.72384906,0.6506336,0.62248385,0.5360094,0.7294551,0.6708226,0.74650455,0.68530023,0.59088683,0.7056651,0.7563814,0.60351247,0.7936575,0.7997359,0.6330845,0.651846,0.68025935,0.6305511,0.62688726,0.59562135,0.5463917,0.7005812,0.72090375,0.5560268,0.62568957,0.60341245,0.659268,0.8350765,0.6430256,0.61874235,0.38407737,0.55845165,0.6643919,0.6114149,0.6514527,0.66705245,0.61919224,0.69925815,0.6314541,0.5729686,0.7522679,0.6728743,0.5916945,0.5688902,0.56961507,0.5459185,0.5871153,0.60402906,0.5502192,0.58990407,0.44339508,0.7687218,0.7136837
quorum_praia_grande_sp,0.55300826,0.5304045,0.5381938,0.58435404,0.62656987,0.60884184,0.4902566,0.49771416,0.5841254,0.56053066,0.50942,0.54474115,0.38606465,0.5035198,0.6294429,0.49553666,1.0000002,0.51750356,0.6877099,0.6719935,0.62742186,0.56803834,0.62602806,0.4333614,0.62646353,0.48961502,0.56935227,0.63457954,0.47205144,0.5168306,0.5780735,0.67917067,0.4031888,0.38796747,0.67853546,0.6134509,0.55172837,0.6228117,0.5941719,0.57338434,0.6770359,0.5621536,0.6856042,0.60114056,0.5902442,0.57692385,0.5218675,0.5073645,0.558445,0.6563004,0.79847884,0.57871795,0.5673274,0.5352653,0.49865022,0.58798563,0.55294544,0.5714518,0.48709643,0.58466136,0.43516776,0.5656641,0.45176452,0.6447122,0.6498154,0.57070243,0.56762326,0.5952097,0.60660696,0.57231426,0.53231984,0.5648184,0.5268506,0.6129207,0.5042364,0.49944866,0.737205,0.5812332,0.48317868,0.47665334,0.5944284,0.5678752,0.6907737,0.60958505,0.634853,0.46961868,0.6006116,0.43800318,0.58638716,0.5285101,0.6077428,0.65394175,0.5006493,0.5380125,0.6181262,0.67484546,0.60896206,0.50667506,0.67203575,0.53249425,0.5934578
quorum_cajamar_sp,0.76294637,0.84938884,0.56992435,0.7235173,0.6855964,0.8128003,0.7153729,0.70786095,0.9022899,0.9141561,0.69117045,0.63840115,0.6428641,0.66830957,0.6656174,0.61157835,0.51750356,0.9999997,0.75169116,0.7541355,0.40319562,0.7028308,0.7986728,0.41462746,0.68816644,0.5752833,0.68859756,0.46785504,0.6793819,0.45472097,0.74024534,0.73524386,0.67501783,0.6749178,0.7930351,0.6882166,0.6060518,0.79109824,0.8362848,0.7604116,0.8234215,0.7781967,0.75185186,0.8393594,0.72561264,0.5936425,0.6738882,0.6159905,0.6532676,0.7787951,0.672776,0.57715464,0.6990906,0.7100351,0.67935294,0.72691506,0.75531614,0.69243205,0.8541148,0.8012332,0.6610428,0.7152392,0.676889,0.72856116,0.812503,0.8553754,0.9253067,0.59412384,0.8539907,0.8094455,0.6562058,0.64991057,0.78511614,0.5393594,0.84113604,0.6995866,0.5740571,0.7910149,0.44342834,0.8242214,0.6392591,0.8574774,0.72974193,0.7901751,0.6386187,0.6500124,0.662284,0.6534562,0.7723166,0.5194331,0.8223431,0.53428686,0.61805654,0.6221435,0.85464364,0.7218479,0.63412094,0.6012006,0.5320273,0.8024588,0.6221634
quorum_sumare_sp,0.6983619,0.7336261,0.627639,0.7093939,0.652851,0.83534163,0.678801,0.6713552,0.7754908,0.7901907,0.6439189,0.6800572,0.54311705,0.6644906,0.67913735,0.5573915,0.6877099,0.75169116,1.0,0.8740741,0.51290405,0.7122195,0.8810762,0.48230666,0.7005601,0.55357397,0.6780474,0.61393005,0.5862124,0.5468732,0.7563096,0.7766121,0.6092664,0.54087776,0.8264198,0.70980096,0.64836085,0.8252739,0.8164245,0.70739245,0.8402662,0.7271658,0.7103251,0.8260019,0.6390247,0.6145778,0.63162875,0.68535805,0.6713519,0.81535435,0.70629406,0.64618963,0.68225557,0.64268327,0.62214375,0.7431618,0.7006873,0.73615694,0.7038828,0.80476445,0.62410676,0.6612092,0.6041513,0.7907405,0.79903233,0.82093877,0.7940469,0.6154345,0.79122424,0.72179705,0.62044954,0.67594177,0.77576244,0.6137152,0.7042717,0.63829625,0.5515893,0.81726825,0.46027082,0.6662906,0.64355445,0.7910105,0.75809205,0.7347246,0.6394204,0.66367114,0.76254,0.54522127,0.6952397,0.52896684,0.8589965,0.59613544,0.5463985,0.6651935,0.8309935,0.74043036,0.5747168,0.58835685,0.6341005,0.6796877,0.61087877
quorum_sao_jose_dos_campos_sp,0.7287682,0.78599,0.6227573,0.7624074,0.6169853,0.8814484,0.6814857,0.66892135,0.8149818,0.813159,0.67641294,0.6567761,0.527709,0.7060852,0.7158488,0.6079748,0.6719935,0.7541355,0.8740741,1.0000002,0.582306,0.7075492,0.84502524,0.44306794,0.6962007,0.61936283,0.67222553,0.5673136,0.6172046,0.5350059,0.76952,0.79613245,0.5966472,0.5800556,0.8364533,0.7313318,0.6365527,0.86759007,0.85089374,0.76049507,0.8787944,0.75160193,0.7040241,0.8551743,0.6979312,0.5870157,0.6337316,0.63465285,0.7027507,0.8008006,0.6857542,0.6590041,0.6669417,0.6603708,0.65741646,0.74434793,0.72917295,0.71717894,0.7221607,0.89590013,0.6470052,0.6622905,0.5918962,0.78116643,0.83944595,0.8395611,0.8200768,0.6300496,0.8117008,0.7534579,0.68058157,0.7403513,0.7782525,0.5814431,0.71882045,0.6424254,0.6257445,0.84859836,0.46375686,0.681645,0.71737933,0.80058527,0.7850878,0.7641226,0.6600678,0.6881651,0.77918625,0.6374842,0.70400286,0.515303,0.8353108,0.69741595,0.52876365,0.68593574,0.8556372,0.7431488,0.61968696,0.59616655,0.6045834,0.69324446,0.67417574
quorum_paulinia_sp,0.4598928,0.44694322,0.47455278,0.51551473,0.5131464,0.48994815,0.4433291,0.41026253,0.42326635,0.49157485,0.43432254,0.5908917,0.31235734,0.46462998,0.6114553,0.38116896,0.62742186,0.40319562,0.51290405,0.582306,1.0000001,0.41724625,0.46108,0.35441476,0.46821308,0.46862033,0.4309254,0.5505871,0.31722236,0.44593227,0.37824672,0.486614,0.40697956,0.36331308,0.48189995,0.45027283,0.5339358,0.5618736,0.49385434,0.5035301,0.55146706,0.40657443,0.54494,0.49823433,0.45698017,0.701665,0.37626138,0.41478944,0.55585176,0.48720634,0.6555568,0.6038424,0.43858278,0.45106286,0.43282253,0.4592849,0.46725202,0.50422275,0.3339703,0.5524854,0.32739234,0.43664676,0.37027657,0.4605525,0.4878596,0.44659755,0.43190873,0.5508021,0.42981806,0.5190641,0.51141167,0.5138756,0.4674284,0.4131649,0.41106474,0.34698933,0.6288216,0.51339895,0.4768049,0.30784902,0.5887978,0.48901808,0.48808086,0.5164497,0.5174155,0.4450289,0.50293875,0.48068672,0.48753285,0.4645381,0.46523762,0.73462313,0.41272488,0.53578395,0.48906407,0.48872566,0.5751102,0.45681724,0.47229534,0.35198802,0.5222366
quorum_barueri_sp,0.78978664,0.7089356,0.59493417,0.6586757,0.63924503,0.69780684,0.7444588,0.73774743,0.6859333,0.7068906,0.6927476,0.6369367,0.6707483,0.7064339,0.63997555,0.689654,0.56803834,0.7028308,0.7122195,0.7075492,0.41724625,0.9999996,0.72729725,0.3036641,0.6223097,0.5593998,0.7459525,0.5234176,0.6609762,0.5855725,0.7693967,0.624056,0.6981156,0.63237494,0.6591852,0.67065805,0.52701026,0.6979201,0.6901543,0.6884845,0.71168786,0.72874695,0.6854913,0.6863527,0.6300868,0.5002995,0.69137335,0.5974789,0.67435825,0.72265244,0.5830951,0.6455387,0.65828836,0.6710613,0.72498286,0.7868928,0.6939595,0.71873903,0.7578044,0.6752604,0.69347584,0.72411245,0.659336,0.7674637,0.7190087,0.7301879,0.7206556,0.54621935,0.7370548,0.7019393,0.59857166,0.62529886,0.66963744,0.5949598,0.71749157,0.69906,0.5677736,0.6798277,0.47144905,0.716735,0.5789996,0.7531558,0.7419603,0.6730579,0.63567305,0.6744844,0.68439496,0.6171464,0.7289572,0.5107527,0.7472887,0.5628518,0.5483781,0.59799194,0.7024158,0.6379471,0.62122214,0.5578503,0.5530998,0.79422426,0.57230365
quorum_sao_sebastiao_sp,0.7051182,0.72869533,0.619011,0.7037121,0.622121,0.8314041,0.68019015,0.6702866,0.81636816,0.8018565,0.64766526,0.6448822,0.5611215,0.719007,0.6551014,0.5795895,0.62602806,0.7986728,0.8810762,0.84502524,0.46108,0.72729725,1.0000002,0.35689896,0.70452046,0.5743918,0.73454434,0.55659795,0.5936543,0.4771363,0.77599907,0.7349606,0.63260245,0.6089338,0.7775559,0.69421685,0.56554365,0.8205302,0.8100486,0.68352246,0.84639204,0.72219366,0.7292228,0.81681395,0.72175777,0.59756005,0.6348954,0.610986,0.6395407,0.84470063,0.6601744,0.6220472,0.66909266,0.64574665,0.682359,0.7747079,0.70031524,0.7093682,0.76531875,0.79643905,0.64174426,0.6904907,0.65045863,0.84960043,0.86295426,0.842783,0.8239022,0.5587588,0.86469126,0.7164652,0.62348896,0.6742469,0.79168546,0.68008757,0.72076195,0.6369952,0.503452,0.8206985,0.418883,0.7634299,0.6384051,0.7590486,0.8074558,0.7072474,0.6797519,0.65708494,0.698804,0.6235379,0.7084806,0.49565038,0.9556456,0.56294453,0.5739565,0.6299936,0.8144933,0.73201585,0.5791855,0.5771744,0.714515,0.7443563,0.6134531
quorum_rio_claro_sp,0.3874014,0.38987786,0.44957012,0.3719566,0.39370486,0.40726113,0.33889765,0.3833862,0.3654002,0.41617745,0.3370903,0.40630913,0.26274595,0.329768,0.41080877,0.3336996,0.4333614,0.41462746,0.48230666,0.44306794,0.35441476,0.3036641,0.35689896,1.0000001,0.34706718,0.39891133,0.36355984,0.4035713,0.36713254,0.3549629,0.27970603,0.5055522,0.2275464,0.2716568,0.43745077,0.37739873,0.4272617,0.42249587,0.45109957,0.46408325,0.44609326,0.41370714,0.40520388,0.44855428,0.41423994,0.30236647,0.3745467,0.3457728,0.48899287,0.44858527,0.4826883,0.2719645,0.41150525,0.34177828,0.29897732,0.35515517,0.3866995,0.42685673,0.3441019,0.44053605,0.35094875,0.30137733,0.33205613,0.36465377,0.4075302,0.38721436,0.40306246,0.39464957,0.3156233,0.4556359,0.413217,0.3449571,0.3746439,0.3769819,0.4042612,0.35845727,0.41823572,0.4408303,0.31807822,0.22741231,0.4278013,0.39437032,0.35769215,0.44635153,0.49681154,0.36059117,0.49079987,0.3081944,0.40565118,0.4525866,0.4018538,0.33814907,0.37317133,0.39173722,0.41352144,0.47814238,0.34649858,0.44592997,0.2592973,0.31869066,0.40548858
quorum_cotia_sp,0.6188726,0.61288667,0.67015666,0.739095,0.6629815,0.71170354,0.67355675,0.6491797,0.7020806,0.6426021,0.6547549,0.61089075,0.5375469,0.5752861,0.5916864,0.55100906,0.62646353,0.68816644,0.7005601,0.6962007,0.46821308,0.6223097,0.70452046,0.34706718,0.9999999,0.5065528,0.64101636,0.4968934,0.5646204,0.42765692,0.7646548,0.6825899,0.560812,0.42633277,0.68079877,0.7671875,0.57547224,0.71052575,0.71752906,0.63605,0.72832185,0.7246939,0.6865858,0.7329564,0.5686207,0.6146318,0.6589255,0.52416253,0.6610843,0.73028356,0.6653975,0.5480677,0.69587505,0.5943247,0.7161318,0.69015825,0.59715927,0.64974344,0.693712,0.700163,0.5798505,0.6715342,0.5167851,0.6422781,0.7079109,0.7215328,0.7074176,0.6037369,0.73989093,0.5958297,0.6419002,0.5945033,0.68361735,0.56769043,0.59884286,0.63846743,0.5952098,0.65501523,0.37551826,0.5952589,0.61498773,0.6840423,0.71073765,0.7458186,0.52939725,0.6318326,0.6611887,0.5409961,0.652291,0.49731356,0.732833,0.59149426,0.67288554,0.5880027,0.69181836,0.63345677,0.7482383,0.6645421,0.5796143,0.6163414,0.58305776
quorum_guarulhos_sp,0.6732091,0.6652666,0.65229404,0.6952635,0.6682208,0.66019154,0.6490741,0.6750661,0.49376416,0.5809841,0.7245779,0.62028694,0.5815547,0.67980313,0.6945933,0.7134477,0.48961502,0.5752833,0.55357397,0.61936283,0.46862033,0.5593998,0.5743918,0.39891133,0.5065528,0.99999994,0.7187942,0.42624596,0.62285376,0.57526743,0.5837565,0.5664879,0.5199186,0.4990955,0.5618187,0.6227079,0.50106245,0.6584444,0.66148543,0.66595757,0.6186557,0.6202023,0.6127707,0.6522199,0.57820714,0.47926742,0.68452024,0.42019767,0.6638711,0.6640495,0.6072123,0.48264742,0.642238,0.66360664,0.56630784,0.5704269,0.56936854,0.6714942,0.56855667,0.66646516,0.6556938,0.6534299,0.4991484,0.5753833,0.60996693,0.6617931,0.59379745,0.56644017,0.49228644,0.6499138,0.8793981,0.47808915,0.70217526,0.6484678,0.62148654,0.6721119,0.60518783,0.58557963,0.37134358,0.4425723,0.81634796,0.54144394,0.5313992,0.6578162,0.61491823,0.77019364,0.688625,0.5636475,0.6952171,0.71055734,0.58722115,0.54409814,0.58368397,0.51690227,0.5613684,0.65042543,0.48496705,0.5851542,0.40127546,0.6669102,0.88268757
quorum_assis_sp,0.72864985,0.6865889,0.69849914,0.6481347,0.64923394,0.7001485,0.69487935,0.717857,0.6411649,0.6547377,0.75234306,0.6561295,0.6545471,0.7418747,0.7140733,0.76202077,0.56935227,0.68859756,0.6780474,0.67222553,0.4309254,0.7459525,0.73454434,0.36355984,0.64101636,0.7187942,1.0000001,0.4970203,0.61279154,0.6197063,0.7088319,0.666404,0.58936536,0.5684129,0.66078556,0.6911429,0.52388984,0.6882712,0.72412103,0.649408,0.72869015,0.6705745,0.6691891,0.7194383,0.6637137,0.4955706,0.72548413,0.5719502,0.67949915,0.8244413,0.6272616,0.5046733,0.61233675,0.712003,0.6713693,0.7331748,0.6679882,0.695637,0.68977636,0.6983955,0.6630212,0.7356061,0.592358,0.77628946,0.7528976,0.7106941,0.7235839,0.5479816,0.6825137,0.6347009,0.65821385,0.5566511,0.6460352,0.72728765,0.6461255,0.7528894,0.6119431,0.6843021,0.36556703,0.6606093,0.6294694,0.6780424,0.70260835,0.68271184,0.73199546,0.63909763,0.6656033,0.62026334,0.8490355,0.7528391,0.7517418,0.5677089,0.5828903,0.5266427,0.6892959,0.70305145,0.5704855,0.6168219,0.5588301,0.84379053,0.7784653
quorum_osasco_sp,0.49733895,0.48108396,0.4727987,0.45051318,0.48320037,0.49204546,0.44399446,0.42774117,0.4827255,0.511695,0.42429155,0.44901946,0.3983755,0.49396113,0.524715,0.37285614,0.63457954,0.46785504,0.61393005,0.5673136,0.5505871,0.5234176,0.55659795,0.4035713,0.4968934,0.42624596,0.4970203,0.99999994,0.3681176,0.4325248,0.51788807,0.6190972,0.4268127,0.4347835,0.54843485,0.5444055,0.4771717,0.53495455,0.49412656,0.52804077,0.5830149,0.4465097,0.5521445,0.50475246,0.5060806,0.5946984,0.3914525,0.5753102,0.48711228,0.5488384,0.61646765,0.572398,0.44029868,0.51340556,0.4121632,0.5571116,0.5966132,0.46007806,0.446041,0.50457114,0.3874247,0.443058,0.49069935,0.5899319,0.598345,0.48452973,0.5106672,0.46372104,0.52776724,0.5158037,0.3913514,0.52394426,0.45192415,0.4744829,0.47097424,0.40092134,0.5672879,0.5313622,0.62098354,0.5023525,0.4937182,0.5474658,0.58212817,0.44941872,0.54563683,0.47452396,0.50310355,0.43558258,0.5152093,0.42667347,0.5832828,0.5400317,0.41848248,0.48713708,0.57912195,0.5916382,0.5822042,0.3745908,0.556557,0.46733886,0.4929761
quorum_taboao_da_serra_sp,0.72935545,0.67235255,0.57611704,0.65980947,0.6647079,0.6438866,0.71946436,0.8533988,0.6262567,0.6546767,0.7800664,0.60298234,0.6957032,0.6489929,0.57510936,0.77854025,0.47205144,0.6793819,0.5862124,0.6172046,0.31722236,0.6609762,0.5936543,0.36713254,0.5646204,0.62285376,0.61279154,0.3681176,1.0,0.51080245,0.6494819,0.5585898,0.58343935,0.5490761,0.5896987,0.6552415,0.5281027,0.650993,0.6461144,0.7121395,0.6213492,0.8113433,0.6968893,0.6370145,0.59232026,0.45655823,0.76259744,0.5293616,0.6636057,0.63181806,0.58651745,0.48858595,0.79643035,0.5496587,0.7133165,0.66778576,0.53813076,0.6607424,0.75716865,0.6225671,0.75998914,0.7180018,0.5863879,0.5899056,0.63693976,0.65140927,0.67284334,0.5814944,0.57163197,0.7151228,0.67064685,0.55328655,0.6728382,0.49188846,0.7007407,0.8028629,0.49999836,0.6215841,0.4097489,0.5427972,0.61666846,0.6256664,0.64130163,0.6549633,0.4957029,0.6997627,0.6547843,0.5143056,0.61803275,0.53654385,0.5950513,0.52036035,0.56642306,0.5353787,0.590538,0.5563666,0.57542956,0.55804634,0.3900557,0.65855765,0.5644065
quorum_leme_sp,0.61712873,0.53387606,0.6290791,0.4780236,0.5541104,0.5030745,0.64979374,0.59458184,0.42358357,0.47703817,0.5989275,0.53649175,0.64859045,0.6791359,0.5996047,0.61991614,0.5168306,0.45472097,0.5468732,0.5350059,0.44593227,0.5855725,0.4771363,0.3549629,0.42765692,0.57526743,0.6197063,0.4325248,0.51080245,1.0,0.6107346,0.5083871,0.5547712,0.53910553,0.4560096,0.5961885,0.4465348,0.524016,0.4690199,0.51371986,0.5104589,0.47500032,0.50603795,0.4698059,0.5005873,0.48022056,0.61237025,0.39836517,0.5920812,0.55328345,0.51365125,0.5684211,0.5349622,0.56431985,0.5522425,0.5634581,0.56602645,0.7455632,0.48088443,0.47416833,0.5830177,0.5527731,0.47927505,0.6008332,0.5259554,0.54332685,0.5367577,0.48678827,0.4779235,0.5630715,0.54254436,0.48684067,0.52403533,0.5220916,0.5919625,0.6006515,0.5742137,0.5334991,0.38891786,0.4786843,0.53693706,0.5073098,0.5460237,0.46922195,0.6528638,0.5704631,0.58147395,0.60222113,0.64113814,0.63264716,0.49231339,0.5470085,0.50330764,0.56387174,0.4813768,0.5061955,0.51199955,0.48072362,0.45078266,0.58436877,0.5845407
