,quorum_campinas_sp,quorum_birigui_sp,quorum_mogi_das_cruzes_sp,quorum_santo_andre_sp,quorum_maua_sp,quorum_sao_vicente_sp,quorum_aruja_sp,quorum_itapeva_sp,quorum_braganca_paulista_sp,quorum_lorena_sp,quorum_salto_sp,quorum_guaratingueta_sp,quorum_votuporanga_sp,quorum_ibiuna_sp,quorum_catanduva_sp,quorum_pindamonhangaba_sp,quorum_praia_grande_sp,quorum_cajamar_sp,quorum_sumare_sp,quorum_sao_jose_dos_campos_sp,quorum_paulinia_sp,quorum_barueri_sp,quorum_sao_sebastiao_sp,quorum_rio_claro_sp,quorum_cotia_sp,quorum_guarulhos_sp,quorum_assis_sp,quorum_osasco_sp,quorum_taboao_da_serra_sp,quorum_leme_sp,quorum_limeira_sp,quorum_araras_sp,quorum_marilia_sp,quorum_caraguatatuba_sp,quorum_jundiai_sp,quorum_vinhedo_sp,quorum_sao_paulo_sp,quorum_sao_bernardo_do_campo_sp,quorum_tatui_sp,quorum_diadema_sp,quorum_varzea_paulista_sp,quorum_jau_sp,quorum_sao_caetano_do_sul_sp,quorum_jandira_sp,quorum_itapetininga_sp,quorum_aracatuca_sp,quorum_itapecerica_da_serra_sp,quorum_cruzeiro_sp,quorum_caieiras_sp,quorum_poa_sp,quorum_ubatuba_sp,quorum_itu_sp,quorum_mogi_mirim_sp,quorum_cubatao_sp,quorum_hortolandia_sp,quorum_valinhos_sp,quorum_lins_sp,quorum_embu_das_artes_sp,quorum_sao_carlos_sp,quorum_mairipora_sp,quorum_atibaia_sp,quorum_bauru_sp,quorum_franca_sp,quorum_guaruja_sp,quorum_sao_jose_do_rio_preto_sp,quorum_ferraz_de_vasconcelos_sp,quorum_votorantim_sp,quorum_mogi_guacu_sp,quorum_itanhaem_sp,quorum_franco_da_rocha_sp,quorum_sao_roque_sp,quorum_sao_joao_da_boa_vista_sp,quorum_ourinhos_sp,quorum_botucatu_sp,quorum_santana_de_parnaiba_sp,quorum_suzano_sp,quorum_sertaozinho_sp,quorum_taubate_sp,quorum_cacapava_sp,quorum_indaiatuba_sp,quorum_sorocaba_sp,quorum_bebedouro_sp,quorum_santos_sp,quorum_carapicuiba_sp,quorum_itatiba_sp,quorum_itaquaquecetuba_sp,quorum_avare_sp,quorum_araraquara_sp,quorum_ribeirao_pires_sp,quorum_campo_limpo_paulista_sp,quorum_piracicaba_sp,quorum_barretos_sp,quorum_francisco_morato_sp,quorum_ribeirao_preto_sp,quorum_americana_sp,quorum_itapevi_sp,quorum_presidente_prudente_sp,quorum_jacarei_sp,quorum_matao_sp,quorum_santa_barbara_doeste_sp
quorum_campinas_sp,0.99999994,0.78651386,0.82077235,0.82333004,0.79327345,0.8175059,0.8483042,0.8630877,0.7342776,0.78251,0.86702305,0.73064196,0.8169093,0.84145474,0.9005728,0.8418894,0.7720158,0.8239583,0.75644624,0.80572456,0.7003799,0.89830315,0.81148636,0.6261325,0.84979534,0.76924634,0.75939023,0.7305852,0.7593055,0.8057201,0.8071569,0.7696468,0.826187,0.817701,0.7594458,0.7561253,0.8478031,0.79799753,0.81766117,0.81849146,0.83301264,0.8562492,0.7870086,0.7892252,0.79363286,0.89268804,0.77346075,0.82636803,0.8224081,0.80897427,0.7749709,0.78924155,0.75255716,0.87530375,0.8840812,0.7718988,0.84077334,0.84942317,0.7856896,0.91650426,0.86865425,0.81209195,0.8408466,0.8353493,0.83930016,0.8172872,0.7449957,0.78705037,0.87958,0.79697704,0.82327336,0.81716937,0.7950766,0.77468014,0.86895967,0.74261963,0.8077043,0.6719493,0.82367617,0.7579881,0.83476007,0.8131714,0.7759833,0.8807892,0.8607236,0.76797295,0.765788,0.8023051,0.7808602,0.8034572,0.72257245,0.81482965,0.77575195,0.7289507,0.75156313,0.85000837,0.82906735,0.7544972,0.8437522,0.8456228
quorum_birigui_sp,0.78651386,1.0000002,0.7304764,0.83674395,0.81148773,0.8904551,0.7215041,0.80170476,0.90982246,0.91077715,0.75156057,0.622468,0.77382046,0.7647631,0.8366976,0.7245655,0.7741376,0.81809616,0.9109296,0.86108524,0.6399943,0.769301,0.8207035,0.67440045,0.7303097,0.7389972,0.6891892,0.6990565,0.7246547,0.71266586,0.7746411,0.8376391,0.7725759,0.7946737,0.8985456,0.6918236,0.79077256,0.9095459,0.8411038,0.90904725,0.8357967,0.8003208,0.9035547,0.73810035,0.6921879,0.74038136,0.78765106,0.711432,0.8416085,0.8327037,0.7490744,0.71291095,0.77640766,0.74823534,0.75422895,0.71316105,0.76821774,0.8057947,0.9031584,0.73544496,0.74667335,0.80276996,0.7924386,0.7824465,0.7485902,0.8137316,0.64519805,0.7885064,0.87912035,0.7485382,0.7985219,0.78991663,0.7424504,0.8938274,0.732147,0.82511926,0.9172745,0.65288454,0.80813026,0.7005688,0.80069035,0.7699298,0.84537035,0.7651583,0.7491089,0.78337586,0.71772134,0.7535083,0.6289331,0.8346648,0.59581757,0.73143506,0.84734845,0.9205353,0.83974993,0.7226308,0.6467669,0.73544794,0.7759325,0.8551518
quorum_mogi_das_cruzes_sp,0.82077235,0.7304764,0.9999998,0.77698004,0.78476155,0.7797272,0.7734548,0.8370527,0.69000703,0.74397665,0.84810174,0.7542584,0.810826,0.8302083,0.8467113,0.8832257,0.78866005,0.7829365,0.72059375,0.8330178,0.78681916,0.81929135,0.7747129,0.60074794,0.83790565,0.78230286,0.7919159,0.80746573,0.7622447,0.8511926,0.82550645,0.7824628,0.77711034,0.7424971,0.7338343,0.8164327,0.8707044,0.7759423,0.8524362,0.8030528,0.7465567,0.81121737,0.77860653,0.7656617,0.8325802,0.7552192,0.79315126,0.7967184,0.82084286,0.80723137,0.75133175,0.74876034,0.7892848,0.839947,0.87479573,0.8227877,0.778329,0.8132657,0.7744653,0.75505435,0.787213,0.73386806,0.87118524,0.8138344,0.7436446,0.7883111,0.73854923,0.7658532,0.8694407,0.8279935,0.77327657,0.77898675,0.81707764,0.7589853,0.8522486,0.76148427,0.7582748,0.7374549,0.7607937,0.8467767,0.8538821,0.8278583,0.7868482,0.8811116,0.770799,0.81528056,0.7232044,0.8192487,0.77275914,0.75991064,0.7811735,0.84073025,0.76727307,0.69900423,0.7303603,0.89399713,0.81047654,0.75274205,0.82094413,0.8712957
quorum_santo_andre_sp,0.82333004,0.83674395,0.77698004,0.9999999,0.7933732,0.909583,0.76443946,0.8266269,0.8487394,0.82505894,0.7503785,0.77439904,0.74817085,0.80623996,0.83091396,0.73714024,0.7370749,0.8285282,0.81301993,0.8041415,0.6582588,0.7760036,0.8409425,0.59961444,0.8372929,0.79100984,0.6958408,0.6908666,0.77324533,0.7402259,0.8022367,0.816492,0.75652647,0.77187073,0.7983094,0.73768413,0.89182603,0.89427555,0.8642472,0.8495725,0.82957435,0.81510884,0.91298294,0.768048,0.737967,0.79033065,0.7604646,0.8703106,0.81290275,0.77411455,0.7473583,0.8341887,0.75036675,0.8540832,0.79474056,0.7061267,0.8593365,0.8228579,0.9083665,0.7903296,0.80825305,0.7662416,0.77467585,0.8116406,0.86489487,0.83410776,0.6654545,0.82569045,0.8285923,0.8801358,0.7929958,0.8943645,0.741851,0.8498522,0.751456,0.74955094,0.8473004,0.6597345,0.7811465,0.81276774,0.8163732,0.7756673,0.94860387,0.7811192,0.8406867,0.9064741,0.7339839,0.7815535,0.6538606,0.8334247,0.6487079,0.80932486,0.8019796,0.8021842,0.7711741,0.8055759,0.7344038,0.7835837,0.7949128,0.8768321
quorum_maua_sp,0.79327345,0.81148773,0.78476155,0.7933732,1.0000001,0.8173593,0.81995404,0.82512355,0.7660675,0.7910987,0.77687466,0.73618984,0.8587298,0.81333923,0.82409215,0.78034097,0.68347126,0.835654,0.77185464,0.8091428,0.6886443,0.7793527,0.81835574,0.63377684,0.7623212,0.90869987,0.79255885,0.7121036,0.791665,0.7997697,0.888237,0.741404,0.80919737,0.7975407,0.89555967,0.80889297,0.8008815,0.8200993,0.75082666,0.82652366,0.83050406,0.81799823,0.8104961,0.70596826,0.7217163,0.82585025,0.7641515,0.75315094,0.8490019,0.8093327,0.7832204,0.78071856,0.90143526,0.7800694,0.74516296,0.8584086,0.8211387,0.8626995,0.81524795,0.79421437,0.79393643,0.80537087,0.815838,0.74386,0.805924,0.8202913,0.6143092,0.7980536,0.8297968,0.79777884,0.6956205,0.826772,0.9070653,0.8013852,0.78009415,0.87609065,0.8058602,0.6591121,0.7780186,0.7193601,0.80901605,0.7325632,0.7781575,0.7939489,0.8164278,0.7599481,0.7330947,0.7829702,0.7161325,0.8322531,0.64503926,0.8222564,0.72511405,0.7739523,0.89657384,0.7733959,0.6711335,0.73909956,0.8331711,0.870731
quorum_sao_vicente_sp,0.8175059,0.8904551,0.7797272,0.909583,0.8173593,0.9999999,0.76307654,0.8342118,0.8899102,0.8867553,0.7572582,0.7276393,0.7946005,0.81496984,0.8658109,0.7606435,0.71637106,0.8521622,0.84759843,0.8554762,0.6822026,0.7611208,0.8605066,0.6290694,0.76942444,0.7821054,0.7215086,0.69268584,0.7536553,0.7475729,0.8098105,0.8284083,0.8034151,0.7912672,0.8515385,0.7244782,0.89973545,0.94583845,0.8916508,0.89923537,0.84985983,0.8449626,0.9566169,0.79050756,0.7402504,0.77521574,0.7763953,0.7640885,0.82865727,0.80409336,0.73948175,0.7529349,0.7712842,0.79497147,0.79579645,0.73415744,0.80226016,0.83177257,0.96281505,0.7738267,0.7620091,0.80479884,0.8141192,0.8538608,0.88820624,0.85543096,0.6279374,0.83615565,0.8809242,0.81439406,0.7797504,0.9075191,0.7470709,0.87603766,0.7581121,0.768861,0.9075762,0.61937034,0.8211574,0.7640003,0.85196716,0.79319125,0.90428996,0.80457515,0.8264483,0.8268439,0.73199517,0.7674775,0.6931989,0.8719832,0.6201662,0.7821038,0.82901704,0.86060584,0.80502486,0.7676736,0.7242323,0.7867845,0.8068173,0.8975991
quorum_aruja_sp,0.8483042,0.7215041,0.7734548,0.76443946,0.81995404,0.76307654,0.9999996,0.8714042,0.6853914,0.70961,0.82432175,0.7066078,0.89097804,0.87101805,0.8082367,0.84532434,0.6119233,0.81344086,0.6835691,0.7112061,0.5727956,0.81845665,0.8224589,0.53295374,0.780569,0.7960876,0.83130205,0.63253856,0.8203489,0.82082975,0.8621175,0.66650116,0.8120724,0.845291,0.7196944,0.7794055,0.77475977,0.7293852,0.69660366,0.7698443,0.84350514,0.7614648,0.7320101,0.71027195,0.68083155,0.9236628,0.71716905,0.7778449,0.8483678,0.66237915,0.7768825,0.82993335,0.76126546,0.8268642,0.7480829,0.8079405,0.8424089,0.90361214,0.7279837,0.9191059,0.90041447,0.8242759,0.8126848,0.7429042,0.862803,0.7866883,0.5948851,0.77482563,0.7549877,0.7493137,0.67814493,0.8215809,0.8144274,0.7378612,0.83379483,0.6584427,0.754858,0.5835789,0.824126,0.6742166,0.75367093,0.7308963,0.7033696,0.7923689,0.86890477,0.71191084,0.76776004,0.76073354,0.8408698,0.81650674,0.5959767,0.78118205,0.69118935,0.66082144,0.70497227,0.74611115,0.6935843,0.7574178,0.8652699,0.826589
quorum_itapeva_sp,0.8630877,0.80170476,0.8370527,0.8266269,0.82512355,0.8342118,0.8714042,0.9999999,0.75399554,0.81330085,0.9305713,0.75393486,0.88271946,0.8678418,0.862511,0.92891663,0.7468422,0.8390381,0.7886399,0.80955505,0.65871,0.8383541,0.84738755,0.57921517,0.86201584,0.7765347,0.8215992,0.73552996,0.86113876,0.8141883,0.81658334,0.7657934,0.84137684,0.83467275,0.7783808,0.7698972,0.85268754,0.8024558,0.8158444,0.83419406,0.9435464,0.84069383,0.8033087,0.8086102,0.7541287,0.8831781,0.8145268,0.8473997,0.85371983,0.7733257,0.81604576,0.88783157,0.78699195,0.8794962,0.8543912,0.78143555,0.87628245,0.9316589,0.7845464,0.87341845,0.87843275,0.83342904,0.839988,0.84042394,0.8151852,0.83722675,0.7006061,0.7996017,0.8710742,0.8200871,0.77176577,0.84332716,0.81727505,0.7813517,0.93307567,0.7356915,0.82185054,0.67993164,0.8105669,0.7699758,0.8472862,0.838205,0.7907992,0.83088624,0.87070656,0.7935101,0.73899883,0.7716533,0.7881525,0.8514654,0.6785624,0.83442515,0.78286314,0.7609959,0.75822717,0.8316645,0.78137964,0.8025584,0.8565386,0.85519636
quorum_braganca_paulista_sp,0.7342776,0.90982246,0.69000703,0.8487394,0.7660675,0.8899102,0.6853914,0.75399554,0.9999996,0.92440987,0.6692481,0.60136604,0.6875492,0.7109921,0.745895,0.6546088,0.71445376,0.8502131,0.8311995,0.81412303,0.5770799,0.7106718,0.8486588,0.5747779,0.71242565,0.67636335,0.6348186,0.62227696,0.6808578,0.6454097,0.7375835,0.8709017,0.69924146,0.7497054,0.84679216,0.6421823,0.7787207,0.9006697,0.80186564,0.91901124,0.796459,0.77648807,0.9090327,0.7085289,0.67201656,0.6933523,0.72243476,0.704304,0.81349885,0.7558678,0.69671,0.69710517,0.6927786,0.72107685,0.7041926,0.644712,0.73006094,0.7917366,0.8968481,0.68176895,0.7199566,0.74325705,0.7403251,0.7879988,0.76160055,0.8363639,0.5757627,0.85433424,0.83898246,0.718486,0.7746152,0.783448,0.6743508,0.90733373,0.66968066,0.7407876,0.90700907,0.5735937,0.80293214,0.64838696,0.79103833,0.7397205,0.8614975,0.72798014,0.69229555,0.78067446,0.7330549,0.74572486,0.5583161,0.8548038,0.56981796,0.6688428,0.82850885,0.8808547,0.76545346,0.70538026,0.58179784,0.72099954,0.7476697,0.8058655
quorum_lorena_sp,0.78251,0.91077715,0.74397665,0.82505894,0.7910987,0.8867553,0.70961,0.81330085,0.92440987,1.0,0.73715127,0.63632536,0.73624146,0.7274803,0.8067021,0.737205,0.76027966,0.8739749,0.90116566,0.85768163,0.63325,0.7606306,0.8541813,0.6351042,0.73483044,0.72560984,0.674574,0.6955626,0.7172797,0.7089795,0.75822103,0.86699307,0.71461195,0.74619544,0.86184424,0.701085,0.8168632,0.91255367,0.85775226,0.9394423,0.8345103,0.834585,0.91568696,0.76927024,0.7333934,0.72472036,0.7482866,0.7068264,0.8286244,0.82738876,0.7211193,0.7078967,0.73916996,0.7306117,0.7711319,0.7317352,0.73666656,0.8480977,0.8901129,0.7187594,0.74325806,0.7662338,0.79771733,0.8388019,0.76558244,0.86665493,0.62905765,0.8445224,0.89737666,0.72375643,0.78231704,0.8003906,0.7356725,0.86204875,0.7551682,0.80137575,0.9492355,0.6375883,0.76961756,0.66464007,0.8549426,0.7633655,0.8536407,0.7708944,0.714481,0.7699485,0.68100554,0.720734,0.6378216,0.86972713,0.6045649,0.7084313,0.8764714,0.9243175,0.8229976,0.74094677,0.6750988,0.72262824,0.80642223,0.8566784
